评论,向量
"港独 邱晨 年月日 发表 分裂 国家 言论 人会 影响 年轻一代 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"发生 疫情 世界 疫情 挺远 一个月 奇迹般地 控制 疫情 世界 告急 揪心 看着 欧洲 看着 瞥 期待 更大 贡献 期待 疫情 尽早 结束 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"充耳不闻 亲人 上坟 前提 亲人 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"节奏 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"欧洲 重灾区 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"死亡 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.017190216900073985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"取得胜利 严防 境外 输入 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02012063299504525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.013637318013927532 0 0 0 0 0 0 0 0 0 0 0 0 0 
"送点 石油 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"想 花 钱 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"两个 月 旅游 全世界 慌 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"差不多 加油 欧洲 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"努力 自豪 感恩 幸福 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"资本 力量 资本 避险 最佳 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"预热 本国 爆发 支持 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"竖 写 就行了 估计 中文 阿拉伯语 英语 只能 横着 写 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"老哥 竖 写 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"新冠 医疗费 国家 买单 批评 国家 地方 终究会 发现 每到 生死关头 到处 国家 总会 爹妈 狠狠 拉 一把 
",0.16229969974342018 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"说实话 踏实 世界 国家 短 控制 住 疫情 国家 不惜一切 代价 投入 力量 一条心 全力 投入 战疫 赢来 抗疫 战争 大好局面 国家 珍惜 疫情 低头 放弃 治疗 自暴自弃 可取 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0.022089232491030657 0 0 0 0 0 0 0 0 0 0 0.015139872517410039 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"人民 中心 生命 至上 不惜代价 保护 英美 等国 利益 中心 资本 至上 精打细算 性价比 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025476713205555203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"同意 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"退潮 裸泳 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"高级 人道主义 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"反对 不顾 中国国情 议论 我国 议论 政府 不好 民众 自然 选 投张票 事儿 能力 物质 能力 祝福 疫情 尽快 结束 民众 受苦 这才 大国 风范 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.014480016112703173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"有钱 没用 钱 买 不来 医院 视死如归 医疗 勇士 骨子里 精神 好日子 白 喊 喊 人道主义 平权主义 有事 应收 尽收 人类 命运 共同体 起码 实实在在 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025980639990720773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014932868175701513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"讨论 科学 扯淡 群体 免疫 理解 疫苗 疫苗 身体 撑 赌 感染者 到底 死 死 年轻人 百分之八十 治愈率 忘记 哪看 剩下 百分之二十 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"逃避 政府 责任 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"回去 自觉 上报 自觉 寒心 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"国外 确实 乱套 境外 同胞 想 回来 不难理解 大使馆 做个 统一 安排 国家 抛弃 不闻 不顾 擅自行动 对人 对己 更何况 隐瞒 行程 更是 不负责任 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.013637318013927532 0 0 0 0 0 0 0 0 0 0 0 0 0 
"广东 实行 入境 一律 隔离 中国籍 医保 医保 中国籍 居住 医保 一律 自费 隔离 自费 前期 努力 白费 对得起 广东 支援 湖北 那名 烈士 
",0 0 0 0 0 0 -0.05273273496928815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018412549993511006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"心疼 祖国 医疗 行么 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014932868175701513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"强烈建议 广东 效仿 国外 回来 一律 隔离 
",0 0 0 0 0 0 -0.05273273496928815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"菲律宾 泰国 输入 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02012063299504525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"解决办法 入境者 自费 隔离 
",0 0 0 0 0 0 -0.0544089185347455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"主动 申报 挺 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"全都 广州白云机场 放 广州 倒 干什么 核酸 检测 不派 专车 接送 牛 逼 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021891652748840938 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"佛山 密切接触 几个 想 请问 良心 痛 缩 家里 多久 中小企业 收到 损失 孩子 家里 盼望 学校 开课 毁 努力 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"感觉 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"特朗普 吃 退烧药 
",0 0 0 0 0 0 0 0 0.043751154177006674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"是非 中国籍 双重国籍 护照 长期 海外 生活 国家 纳过 税 国内 连续 缴过 医保 回来 浪费 资源 祸害 飞机 旅客 机组人员 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"意呆利 名不虚传 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"辛辛苦苦 全让 国外 霍霍 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"爆发 国家 重视 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"数据 假点 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"爆发 速度 猛 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"全他 娘 乱 晋西北 乱成 一锅粥 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"病毒 哪来 多钱 环游世界 
",0 0 0 0 0 -0.059201934998045956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"特朗普 检测 阴 证明 
",0 0 0 0 0 0 0 0 0.043751154177006674 0 0 0 0 0 0 0 0 0 0 0.021891652748840938 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"国内 国外 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"好多 国家 统计 检测 漏报 瞒报 数值 远远 大于 发布 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0.021891652748840938 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"人类 命运 希望 度过 难关 
",0 0 0 0 0 0 0 0 0 0 0.03351498740466901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"千万别 放 进来 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"数据 翻 一翻 接近 真实 数据 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"希望 国外 快 控制 住 想要 输入 
",0 0 0 0 0 0 0 0 0 0 0.03351498740466901 0 0 0 0 0 0 0 0 0 0 0.02012063299504525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"希望 国家 尽早 控制 住 疫情 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0.031218010074754 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"战役 加油 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"富贵 命 平民 流感 富人 新冠 
",0.16229969974342018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"说实话 踏实 世界 国家 短 控制 住 疫情 国家 不惜一切 代价 投入 力量 一条心 全力 投入 战疫 赢来 抗疫 战争 大好局面 祖国 点赞 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0.022089232491030657 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"配不上 文在寅 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这次 不错 文在寅 水平 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这一波 泡菜 总统 简直 想象 泡菜 增量 疫情 至少 泡菜 控制 住 后续 看好 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"天地会 办法 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"加油 人类 命运 共同体 团结 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"感觉 防控 见成效 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0.02689686982306411 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"加油 希望 平平安安 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0.03581196473458401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"抄 作业 抄 非常 好文 寅 不错 反观 瞒天瞒地 瞒不过 想象 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"人类 命运 共同体 加油 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"第一个 用于 承认 首领 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"感觉 担当 总统 咋长 奥巴马 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"以身作则 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这才 正确 做法 不想 川川 死 皮 不要脸 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"港独晨 年月日 发表 分裂 国家 言论 人会 影响 年轻一代 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"全世界 美军 生化 实验室 最多 厉害 疫情 中日韩 欧盟 国家 精准 难道 病毒 长 眼睛 迄今为止 悬疑 新冠 病毒 到底 到底 确诊 事实 说话 烟雾弹 遮住 双眼 
",0.16229969974342018 0 0.1181414372099206 0.0654241812333372 0 -0.05938431927099126 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"身先 为帅 总统 表态 高层 重视 才能 执行 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"疫情 期间 数万名 医生 驰援 患者 点亮 前行 灯 世界 点亮 灯 英雄 生命 献给 这座 美丽 城市 医生 警察 志愿者 坚强 坚定 团结 迎来 春暖花开 依然 深深 拥抱着 这片 大地 
",0 0 0.1181414372099206 0 0 0 0 0 0 -0.03230516675835395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01375586308078748 0 0 0 0 0.017302079298999955 0 0 0 0 0 0 0 0 0 
"啥时候 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"比特 谱 自觉 犹 记得 特靠 谱 未 中奖 音容笑貌 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"评论 留学生 二代 留学 留学 想 回来 建设 国家 不正 学着 何必 呐 社会主义 接班人 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"评论 一群 站 说话 腰疼 货 毕业 归国 学生 自理 两个 月 争相 购买 口罩 捐 国内 忘 疫情 结束 提起 砍 医生 刀 
",0 0 0.1181414372099206 0 0 0 0 0.047379477677191445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01375586308078748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"回来 隔离 费用 自理 谢谢 
",0 0 0 0 0 0 -0.05273273496928815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"回国 隔离 国内 医保 全程 自费 
",0 0 0 0 0 0 -0.054760917083491546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"评论 区戾 气 太重 本是 同根 生相 煎 何太急 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"评论 双标 圣母 当初 湖北 出逃 全国 指责 一到 境外 输入 天天 十几个 王炸 倒 宽容 站 说话 腰疼 国外 症状 回国 宽容 心疼 飞机 背后 家庭 一说 捐 物资 警告 捐 物资 带病 回家 道德素质 关联 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02012063299504525 0 0.018412549993511006 0 0 0 0 0 0 0 0 0 0 0 0 0.013637318013927532 0 0 0 0 0 0 0 0 0.011033715592480035 0 0 0 0 
"国家 拒绝 同胞 回国 支持 拒绝 健康 湖北 回家 一视同仁 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0.018412549993511006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"留学生 起码 回来 报备 公知 二皮脸 回来 浪费 国家 资源 隐瞒 病情 可恶 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"服 留学生 出国 留学 院士 出国 留学 移民 一个个 评论 疯子 捐款 买 口罩 寄 回国 这快 忘 狼心狗肺 
",0 0 0 0 0 0 0 0.047379477677191445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010416866388653034 
"同胞 国内 疫情 爆发 海外 华人华侨 捐款捐物 海外 疫情 公务 外派 留学生 国内 家人 担心 想 回来 瞒报 隔离 负责 负责 
",0 0 0.1181414372099206 0 0 0 -0.054760917083491546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这次 控制 真不错 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"困难 国籍 回来 这是 移民 乖乖 呆 国家 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"全是 欧美 亚洲 国家 疫情 控制 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这届 文在寅 大幸 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"严防 境外 输入 关闭 大部分 国际 机场 开放 国际 机场 建设 隔离 方仓 场地 境外 一律 隔离 永远 生活 回归 
",0 0 0 0 0 0 -0.05273273496928815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02012063299504525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.013637318013927532 0 0 0 0 0 0 0 0 0 0 0 0 0 
"控制 不错 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"五毒俱全 邱虫 仔 不肯 退党 周玄毅 落井下石 马薇 薇 美籍华人 詹 青云 替罪 羔羊 杨奇 函 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"加油 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"亚洲 智商 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"集美 豌豆 公主 日常 这位 公主 恶意 侮辱 威胁 防疫 工作人员 偷拍 视频 发布 外网 见识一下 这位 公主 姐姐 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01201969254771617 0.011985651206027058 0 0 0 0 0 
"困难 国籍 回来 这是 移民 乖乖 呆 国家 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"落到 隔离 隔离 治疗 费用 医保 自理 
",0 0 0 0 0 0 -0.05512967746789216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015139872517410039 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
